millis,ax,ay,az,gx,gy,gz
2024-12-31 11:32:27.325959,0.036499,0.095581,1.041626,-4.699707,0.427246,-6.591797
2024-12-31 11:32:27.333959,-0.107056,0.073120,0.981445,-2.990723,0.976562,-6.652832
2024-12-31 11:32:27.342959,-0.004883,0.026489,1.033813,-3.540039,0.122070,-9.155273
2024-12-31 11:32:27.350959,-0.196533,0.019653,0.974609,-3.234863,1.342773,-8.605957
2024-12-31 11:32:27.359959,-0.124878,0.205566,0.973999,-3.967285,-0.244141,-12.573242
2024-12-31 11:32:27.367959,0.025391,0.052856,1.036987,-2.258301,0.915527,-17.822266
2024-12-31 11:32:27.376959,-0.230835,-0.093018,0.958496,-2.441406,2.380371,-17.883301
2024-12-31 11:32:27.384959,-0.102783,0.044556,0.950806,-3.723145,1.525879,-18.737793
2024-12-31 11:32:27.393959,-0.035034,0.060913,1.026489,-2.258301,1.831055,-18.310547
2024-12-31 11:32:27.401959,-0.093750,-0.020142,0.958008,-3.295898,2.075195,-16.906738
2024-12-31 11:32:27.410959,-0.159058,-0.094482,0.974487,-3.173828,-0.305176,-21.545410
2024-12-31 11:32:27.418959,-0.048828,-0.073120,1.034180,-2.136230,2.502441,-24.658203
2024-12-31 11:32:27.426959,-0.084961,-0.020142,1.017578,-2.929688,0.000000,-27.343750
2024-12-31 11:32:27.435959,-0.053833,-0.065918,0.983643,-0.488281,3.845215,-28.015137
2024-12-31 11:32:27.443959,-0.042725,-0.042114,1.018066,-4.516602,0.549316,-21.728516
2024-12-31 11:32:27.452959,-0.094360,-0.041992,1.001831,-2.807617,-0.061035,-19.775391
2024-12-31 11:32:27.460959,-0.023804,-0.000732,0.972290,-3.112793,0.488281,-20.690918
2024-12-31 11:32:27.469959,-0.043701,-0.046875,0.973022,-3.112793,-0.183105,-21.240234
2024-12-31 11:32:27.477959,-0.013916,-0.214233,0.964233,-3.173828,1.220703,-20.690918
2024-12-31 11:32:27.486959,-0.026855,-0.142212,0.981079,-3.662109,1.708984,-19.714355
2024-12-31 11:32:27.494959,0.136353,-0.029907,1.013794,-1.525879,2.441406,-20.568848
